codigo;punto llenado;codigoTramo;DESCRIPCION;REGION;CENTROCOSTO;LONGITUDTRAMO;ANCHOTRAMO;AREAREGAR;DISTANCIALLENADO;FRECUENCIA;COMBINACIONPROPUESTA;CISTERNACAPACIDAD;TIPOPRODUCTO;NUMEROMES;NOMBREMES;DÍAS;PASOS;KMS VIAJE;EFICIENCIA;Combinacion;CAPACIDAD;VIAJES;KMSREGAR;KMSTRASLADO;KMSSUBTOTALES;KMSTOTALES;SEMANA;COORDINADOR;CABEZAL;COMBINACION;TRANSPORTE;COMBINACION NUMERICA
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 22;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 22;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 22;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 22;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 22;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 22;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 22;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 23;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 23;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 23;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
1;INGENIO MAGDALENA;709;TRAMO EL APIPAL  4 CAMINOS;ORIENTE;A53200;3.18;8;0.026;46.65;1;2;8000;VINAZA;4;ABRIL;22;2.858;9.089;0.028;0.056;0.0896;0.291;9.089;13.576;22.665;22.665;SEMANA 23;TORRE 1;RENTADO 3;DOBLE;RENTADO;2
